Address ,Price ,Pay For A Year ,Rooms ,City ,Build Size ,Floor ,Balcony ,Area ,Type 
שדרות יעלים 12,"2,300 ₪",12,0,כפר סבא,330,2 מתוך 8,0,רעננה - כפר סבא,דירה
סיירת דוכיפת 12,"5,000 ₪",12,5.0,תל עדשים,143,2 מתוך 3,1,עמק יזרעאל,דירה
נוף הרים 159,"3,400 ₪",12,0,ראשון לציון,85,קרקע מתוך 2,0,"ראשל""צ והסביבה",יחידת דיור
תבור 1,"7,000 ₪",12,0,אילת,80,4 מתוך 5,2,אילת והערבה,דירה
דרך שלמה 90,"2,550 ₪",12,0,חיפה,94,קרקע מתוך קרקע,1,חיפה וחוף הכרמל,דירה
האורנים 8,"2,950 ₪",12,0,גן יבנה,50,8 מתוך 8,0,אשדוד - אשקלון,דירה
אבן עזרא 19,"3,700 ₪",12,0,ראשון לציון,160,1 מתוך 1,0,"ראשל""צ והסביבה",יחידת דיור
בלפור 42,"1,000 ₪",12,0,תל אביב יפו,50,2 מתוך 4,0,תל אביב,מחסן
גרינשפן 11,"7,300 ₪",0,6.0,בת ים,175,4 מתוך 8,0,חולון - בת ים,דירה
ריינס 5,"6,000 ₪",12,0,ראשון לציון,126,קרקע מתוך קרקע,2,"ראשל""צ והסביבה",בית פרטי/קוטג'
רבי עקיבא 74,"3,350 ₪",12,0,נתניה,70,1 מתוך 1,1,נתניה והסביבה,יחידת דיור
נתן אלבז 3,"2,500 ₪",12,0,תל אביב יפו,90,1 מתוך 3,0,תל אביב,דירה
דרך הערבה 1,"4,000 ₪",0,0,גדרה,135,4 מתוך 4,1,גדרה יבנה והסביבה,תיירות ונופש
"ש""י עגנון 14","2,500 ₪",12,0,נתניה,180,5 מתוך 6,0,נתניה והסביבה,דירה
גרציאני יצחק 6,"11,500 ₪",12,3.0,ירושלים,75,4 מתוך 8,0,ירושלים והסביבה,דירה
החרצית 10,"7,800 ₪",12,0,פתח תקווה,126,4 מתוך 4,2,פתח תקוה והסביבה,דירה
נורדאו 22,"4,000 ₪",10,0,תל אביב יפו,70,2 מתוך 4,0,תל אביב,דירה
הזמיר 68,"4,500 ₪",12,0,ירושלים,90,3 מתוך 4,0,ירושלים והסביבה,דירה
דרך חברון 10,"4,500 ₪",12,0,חדרה,135,קרקע מתוך קרקע,0,חדרה וישובי עמק חפר,דירה
האייל 71,"3,800 ₪",12,0,רמת גן,180,4 מתוך 4,0,רמת גן - גבעתיים,דירה
דרך התקווה 11,"8,000 ₪",12,2.0,אשקלון,75,3 מתוך 7,2,אשדוד - אשקלון,דירה
סמטת צבי פיקסלר 8,"8,200 ₪",12,5.0,ראש העין,100,3 מתוך 10,1,ראש העין והסביבה,דירה
דרך הבנים 2,"2,750 ₪",12,0,חולון,146,2 מתוך 3,1,חולון - בת ים,דירה
השלום 4,"1,800 ₪",12,1.0,תל אביב יפו,90,2 מתוך 6,0,תל אביב,בית פרטי/קוטג'
שלום שוורצבארד 2,"2,600 ₪",12,5.0,רמלה,48,7 מתוך 8,1,רמלה - לוד,יחידת דיור
סמטת לימון 4,"3,700 ₪",12,5.0,קרית אונו,200,3 מתוך 5,1,בקעת אונו,דירה
העונות 1,"4,600 ₪",12,0,קיסריה,75,2 מתוך 6,1,קיסריה והסביבה,דירה
"רד""ק","7,600 ₪",12,0,פתח תקווה,300,7 מתוך 8,0,פתח תקוה והסביבה,דירה
זבלודוביץ 6,100 ₪,12,4.0,עכו,160,3 מתוך 5,1,עכו - נהריה,דו משפחתי
ארגמן 1,"4,300 ₪",12,0,באר יעקב,65,2 מתוך 2,0,"ראשל""צ והסביבה",דירה
העונות 1,"4,600 ₪",12,0,מבשרת ציון,110,5 מתוך 6,0,ירושלים והסביבה,דירה
"רד""ק","7,600 ₪",12,4.0,חולון,93,5 מתוך 7,0,חולון - בת ים,דירה
זבלודוביץ 6,100 ₪,12,0,חיפה,0,8 מתוך 9,0,חיפה וחוף הכרמל,דו משפחתי
ארגמן 1,"4,300 ₪",12,0,חיפה,74,9 מתוך 16,1,חיפה וחוף הכרמל,דירה
עמק חפר 1,0,12,0,רמלה,85,קרקע מתוך 5,2,רמלה - לוד,דירת גן
בית וגן 18,"3,300 ₪",12,2.0,חדרה,83,קרקע מתוך קרקע,1,חדרה וישובי עמק חפר,דירה
שדרות לכיש 60 43,"2,100 ₪",12,0,נתיבות,122,3 מתוך 14,0,באר שבע והסביבה,דירה
שאול המלך 10,"3,800 ₪",12,0,חולון,60,קרקע מתוך 2,0,חולון - בת ים,דירה
אנה פרנק 2,"4,800 ₪",12,0,חריש,95,3 מתוך 4,1,פרדס חנה - כרכור,דירה
יהודה הלוי 4,"4,000 ₪",12,0,קרית אונו,40,3 מתוך 4,1,בקעת אונו,דירה
הכרמל 9,"3,900 ₪",12,0,ניר עקיבא,90,2 מתוך 5,2,מושבים בדרום,דירה
דהאן שמעון,"2,300 ₪",12,0,קדימה צורן,100,קרקע מתוך קרקע,1,מושבים בשרון,דירה
יוסף חכמי 45,"4,200 ₪",1,0,חולון,0,קרקע מתוך 2,0,חולון - בת ים,דירה
יוסף אהרונוביץ' 74,"5,000 ₪",12,0,באר שבע,90,2 מתוך 2,1,באר שבע והסביבה,בית פרטי/קוטג'
יבנאל 3,"3,000 ₪",12,0,בני ברק,90,3 מתוך 6,0,רמת גן - גבעתיים,דירה
תל חי 49,300 ₪,12,0,רמלה,45,2 מתוך 6,0,רמלה - לוד,חניה
שביל הזהב 4,"9,250 ₪",12,0,רמלה,14,3 מתוך 3,1,רמלה - לוד,דירה
הרב ברים,"4,500 ₪",12,0,הוד השרון,40,2 מתוך 3,0,הוד השרון והסביבה,דירה
רפפורט 3,600 ₪,1,4.0,נתניה,40,1 מתוך 2,1,נתניה והסביבה,חניה
המבדיל 8,"8,000 ₪",12,2.0,מודיעין מכבים רעות,140,4 מתוך 8,0,מודיעין והסביבה,דירה
בעלי התוספות 5,"3,500 ₪",12,4.0,רמלה,160,3 מתוך 7,1,רמלה - לוד,יחידת דיור
בזל 31,"4,000 ₪",0,0,אשקלון,88,2 מתוך 4,0,אשדוד - אשקלון,דירה
גולדה מאיר 6,"6,700 ₪",12,0,גבעתיים,82,1 מתוך 1,1,רמת גן - גבעתיים,דירה
הנורית 104,"3,600 ₪",12,0,תל אביב יפו,148,1 מתוך 3,0,תל אביב,דירה
משה סנה 13,"3,700 ₪",6,0,תל אביב יפו,640,10 מתוך 10,0,תל אביב,יחידת דיור
כצנלסון 10,"4,300 ₪",12,2.5,עכו,113,2 מתוך 5,0,עכו - נהריה,בית פרטי/קוטג'
רבדים 35,"6,500 ₪",12,0,באר שבע,640,4 מתוך 8,0,באר שבע והסביבה,דירה
הרצל 316,"2,200 ₪",12,0,נתניה,113,1 מתוך 3,1,נתניה והסביבה,דירה
לובה אליאב 1,0,12,5.0,הרצליה,90,2 מתוך 4,0,רמת השרון - הרצליה,בית פרטי/קוטג'
שוהם 74,"4,400 ₪",12,4.5,רחובות,180,קרקע מתוך 10,0,נס ציונה - רחובות,דירת גן
הרב אריה בינה 16,"6,700 ₪",0,0,הרצליה,250,קרקע מתוך 2,0,רמת השרון - הרצליה,דירה
משה שרת 64,"3,250 ₪",12,0,אשקלון,36,2 מתוך 4,0,אשדוד - אשקלון,דירה
קהילת פאדובה 30,"10,000 ₪",12,3.0,באר שבע,33,1 מתוך 3,0,באר שבע והסביבה,דירה
גבע 3,"4,500 ₪",12,0,שילת,110,2 מתוך 5,1,מודיעין והסביבה,דירה
משעול רוגל 1076,"2,350 ₪",12,4.0,חיפה,250,4 מתוך 6,0,חיפה וחוף הכרמל,דירה
סוקולוב 90,"4,000 ₪",12,0,תל אביב יפו,120,1 מתוך 3,0,תל אביב,דירה
מלכת שבא 3,"4,900 ₪",12,0,נהריה,80,2 מתוך 5,1,עכו - נהריה,גג/פנטהאוז
שדרות בן צבי 120,"7,300 ₪",12,0,קרית מלאכי,110,4 מתוך 6,0,אשדוד - אשקלון,דירה
ההדרים 19,"16,500 ₪",12,2.0,באר שבע,90,12 מתוך 18,0,באר שבע והסביבה,בית פרטי/קוטג'
"אח""י מבטח 24","12,000 ₪",12,0,תל אביב יפו,35,15 מתוך 16,1,תל אביב,בית פרטי/קוטג'
יערה,"2,900 ₪",12,4.0,קרני שומרון,60,2 מתוך 8,0,יישובי השומרון,יחידת דיור
קדושי קהיר 8,"5,200 ₪",12,0,כרמיאל,30,3 מתוך 4,1,כרמיאל והסביבה,דירה
סיגלון 12,"6,200 ₪",12,0,נתיבות,94,3 מתוך 5,0,באר שבע והסביבה,בית פרטי/קוטג'
הרב שך 1,"7,800 ₪",12,0,נשר,118,2 מתוך 2,1,חיפה וחוף הכרמל,דירה
הרב אבא שאול 18,"3,900 ₪",12,0,רחובות,0,1 מתוך 3,1,נס ציונה - רחובות,דירה
שלמה אלירז 9,"7,600 ₪",0,3.0,חיפה,90,2 מתוך 2,0,חיפה וחוף הכרמל,דירה
הרצל 11,"2,500 ₪",12,0,ראשון לציון,86,קרקע מתוך קרקע,0,"ראשל""צ והסביבה",דירה
רינגלבלום 72,"2,500 ₪",1,5.0,חיפה,210,קרקע מתוך 3,2,חיפה וחוף הכרמל,בית פרטי/קוטג'
הנורית 104,"3,600 ₪",12,0,ירושלים,80,18 מתוך 22,3,ירושלים והסביבה,דירה
משה סנה 13,"3,700 ₪",11,0,תל אביב יפו,11111,2 מתוך 4,2,תל אביב,יחידת דיור
כצנלסון 10,"4,300 ₪",1,0,באר יעקב,140,4 מתוך 5,3,"ראשל""צ והסביבה",בית פרטי/קוטג'
רבדים 35,"6,500 ₪",12,0,בית שמש,30,1 מתוך 4,0,בית שמש והסביבה,דירה
הרצל 316,"2,200 ₪",12,5.0,תל אביב יפו,55,4 מתוך 4,1,תל אביב,דירה
לובה אליאב 1,0,12,4.0,זכריה,50,2 מתוך 2,1,בית שמש והסביבה,בית פרטי/קוטג'
שוהם 74,"4,400 ₪",12,5.0,ירושלים,560,4 מתוך 5,2,ירושלים והסביבה,דירת גן
הרב אריה בינה 16,"6,700 ₪",12,0,ראשון לציון,210,3 מתוך 5,1,"ראשל""צ והסביבה",דירה
משה שרת 64,"3,250 ₪",0,0,טירת כרמל,174,קרקע מתוך 1,1,חיפה וחוף הכרמל,דירה
קהילת פאדובה 30,"10,000 ₪",12,3.0,נשר,100,4 מתוך 6,3,חיפה וחוף הכרמל,דירה
גבע 3,"4,500 ₪",1,0,תל אביב יפו,90,7 מתוך 17,0,תל אביב,דירה
משעול רוגל 1076,"2,350 ₪",1,3.0,קרית מוצקין,80,1 מתוך 6,0,קריות,דירה
סוקולוב 90,"4,000 ₪",12,0,חיפה,300,4 מתוך 4,0,חיפה וחוף הכרמל,דירה
מלכת שבא 3,"4,900 ₪",12,5.0,חיפה,65,3 מתוך 3,0,חיפה וחוף הכרמל,גג/פנטהאוז
שדרות בן צבי 120,"7,300 ₪",4,0,ירושלים,82,3 מתוך 4,1,ירושלים והסביבה,דירה
ההדרים 19,"16,500 ₪",12,0,תל אביב יפו,130,3 מתוך 8,1,תל אביב,בית פרטי/קוטג'
"אח""י מבטח 24","12,000 ₪",12,0,באר יעקב,300,4 מתוך 7,0,"ראשל""צ והסביבה",בית פרטי/קוטג'
יערה,"2,900 ₪",12,0,בית שמש,65,3 מתוך 3,0,בית שמש והסביבה,יחידת דיור
קדושי קהיר 8,"5,200 ₪",12,5.0,תל אביב יפו,82,1 מתוך 2,1,תל אביב,דירה
סיגלון 12,"6,200 ₪",12,4.0,זכריה,130,2 מתוך 17,0,בית שמש והסביבה,בית פרטי/קוטג'
הרב שך 1,"7,800 ₪",12,5.0,ירושלים,95,1 מתוך 2,0,ירושלים והסביבה,דירה
הרב אבא שאול 18,"3,900 ₪",0,0,ראשון לציון,75,4 מתוך 4,1,"ראשל""צ והסביבה",דירה
שלמה אלירז 9,"7,600 ₪",12,0,טירת כרמל,75,5 מתוך 7,1,חיפה וחוף הכרמל,דירה
הרצל 11,"2,500 ₪",12,3.0,נשר,150,1 מתוך 8,2,חיפה וחוף הכרמל,דירה
רינגלבלום 72,"2,500 ₪",12,0,תל אביב יפו,225,1 מתוך 4,0,תל אביב,בית פרטי/קוטג'
נחל דליות 1,"4,300 ₪",12,0,קרית מוצקין,65,5 מתוך 6,0,קריות,דירת גן
לוחמי הגטאות 22,"6,900 ₪",12,4.0,חיפה,85,1 מתוך 3,1,חיפה וחוף הכרמל,בית פרטי/קוטג'
הרצל 75,"3,800 ₪",7,0,רמת רזיאל,97,2 מתוך 26,0,מושבים באזור ירושלים,דירה
יהלום 1,"6,000 ₪",12,0,ירושלים,100,4 מתוך 4,1,ירושלים והסביבה,בית פרטי/קוטג'
שלמה גולדין 3,"6,000 ₪",12,0,יהוד מונוסון,85,5 מתוך 7,0,בקעת אונו,דירה
אהבת אדם 58,"8,500 ₪",12,0,גבעתיים,80,1 מתוך 8,0,רמת גן - גבעתיים,גג/פנטהאוז
שדרות ירושלים 64,"5,500 ₪",12,0,ראשון לציון,65,1 מתוך 4,0,"ראשל""צ והסביבה",דירה
שרה 1,"2,400 ₪",12,0,חצור הגלילית,119,5 מתוך 6,1,גליל ועמקים,סטודיו/לופט
שרעבי 13,0,10,0,נתיבות,300,1 מתוך 3,0,באר שבע והסביבה,דירה
עודה נדה 2,"2,500 ₪",12,0,פתח תקווה,95,2 מתוך 26,1,פתח תקוה והסביבה,דירה
מעפילי אגוז 116,"6,500 ₪",12,3.5,נתניה,100,3 מתוך 3,0,נתניה והסביבה,דירה
האיילון 9,"4,850 ₪",12,0,מבשרת ציון,104,קרקע מתוך 1,0,ירושלים והסביבה,דירה
הנרייטה סאלד 4,"3,900 ₪",12,3.0,אור יהודה,65,קרקע מתוך 5,0,בקעת אונו,דירה
רחל אלתר 7,"3,850 ₪",12,0,אשקלון,90,1 מתוך 3,0,אשדוד - אשקלון,דירה
שא נס 7,"6,700 ₪",11,0,ראשון לציון,70,1 מתוך 3,0,"ראשל""צ והסביבה",דירה
שיקמים 117,"8,200 ₪",12,0,חיפה,74,1 מתוך 5,1,חיפה וחוף הכרמל,דו משפחתי
הנורית 12,0,0,0,קרית אונו,120,16 מתוך 18,0,בקעת אונו,יחידת דיור
הפסגה 54,"9,800 ₪",12,0,נתניה,70,קרקע מתוך 3,0,נתניה והסביבה,דירה
בילינסון 4,"5,900 ₪",12,0,בנימינה גבעת עדה,40,2 מתוך 3,0,זכרון - בנימינה,דירה
תרשיש 4,0,12,1.0,באר שבע,130,3 מתוך 9,0,באר שבע והסביבה,בית פרטי/קוטג'
קרל נטר 30,"4,500 ₪",12,0,עכו,120,קרקע מתוך קרקע,0,עכו - נהריה,דירה
הדרור 17,"2,000 ₪",0,0,פרדס חנה כרכור,66,1 מתוך 1,1,פרדס חנה - כרכור,דירה
שדרות גת 32,"4,000 ₪",12,0,אבן יהודה,0,1 מתוך 5,1,מושבים בשרון,דירה
שיקמים 117,"8,200 ₪",12,0,בית שמש,50,0,0,בית שמש והסביבה,דו משפחתי
הנורית 12,0,12,4.0,קרית אונו,115,1 מתוך 1,1,בקעת אונו,יחידת דיור
הפסגה 54,"9,800 ₪",12,0,יהוד מונוסון,70,4 מתוך 7,1,בקעת אונו,דירה
בילינסון 4,"5,900 ₪",12,0,תל אביב יפו,50,18 מתוך 21,0,תל אביב,דירה
תרשיש 4,0,12,3.0,קרית שמונה,70,קרקע מתוך 3,0,גליל ועמקים,בית פרטי/קוטג'
קרל נטר 30,"4,500 ₪",12,0,אלון שבות,104,12 מתוך 14,1,ירושלים והסביבה,דירה
הדרור 17,"2,000 ₪",12,0,באר שבע,100,2 מתוך 3,0,באר שבע והסביבה,דירה
שדרות גת 32,"4,000 ₪",12,0,ירושלים,80,7 מתוך 7,0,ירושלים והסביבה,דירה
העוגן 29,"3,600 ₪",1,0,אשדוד,90,3 מתוך 5,0,אשדוד - אשקלון,דירה
הרב טנא 2,"3,700 ₪",1,0,באר שבע,152,3 מתוך 9,0,באר שבע והסביבה,דירה
החלוץ 5,"4,500 ₪",0,0,באר יעקב,77,2 מתוך 2,0,"ראשל""צ והסביבה",דירה
שפרינצק 34,650 ₪,12,0,יבנה,104,8 מתוך 10,0,גדרה יבנה והסביבה,מחסן
שדרות העצמאות 23,"4,200 ₪",12,3.0,תל אביב יפו,100,קרקע מתוך 1,1,תל אביב,דירה
י.ל. פרץ 38,"7,200 ₪",12,0,בנימינה גבעת עדה,80,2 מתוך 5,0,זכרון - בנימינה,בית פרטי/קוטג'
אלערקדה 7,"3,800 ₪",12,0,באר שבע,90,3 מתוך 3,0,באר שבע והסביבה,בית פרטי/קוטג'
הרצוג 1113,"1,650 ₪",12,0,עכו,152,2 מתוך 2,1,עכו - נהריה,דירה
הנגב 15,"3,950 ₪",12,0,פרדס חנה כרכור,77,3 מתוך 4,0,פרדס חנה - כרכור,בית פרטי/קוטג'
שדרות ירושלים 21,"2,400 ₪",12,0,אבן יהודה,78,3 מתוך 15,0,מושבים בשרון,דירה
שער האריות 2,"5,500 ₪",12,1.0,בית שמש,12,2 מתוך 2,0,בית שמש והסביבה,דירה
גרינבוים 28,"3,400 ₪",0,0,קרית אונו,120,6 מתוך 18,1,בקעת אונו,דירה
דרך שרה 2,"5,000 ₪",6,5.5,יהוד מונוסון,80,4 מתוך 11,2,בקעת אונו,דירה
בן יהודה 218,"6,490 ₪",12,0,תל אביב יפו,75,1 מתוך 1,2,תל אביב,דירה
הירדן 3,"11,000 ₪",12,4.0,קרית שמונה,120,2 מתוך 2,1,גליל ועמקים,דו משפחתי
"מזא""ה 57","9,200 ₪",0,0,אלון שבות,265,6 מתוך 18,1,ירושלים והסביבה,דירה
הפרחים 9,"4,120 ₪",12,0,באר שבע,90,4 מתוך 11,2,באר שבע והסביבה,דירה
קרן קיימת לישראל 26,"5,850 ₪",12,0,ירושלים,0,1 מתוך 1,1,ירושלים והסביבה,דופלקס
שלמה בן יוסף 323,"4,250 ₪",12,5.0,אשדוד,125,4 מתוך 19,1,אשדוד - אשקלון,דירה
הרצל 56,"2,500 ₪",12,0,באר שבע,207,2 מתוך 2,0,באר שבע והסביבה,דירה
ישי 11,"2,900 ₪",3,4.0,באר יעקב,120,1 מתוך 6,0,"ראשל""צ והסביבה",דירה
נאות גולף 1,"10,550 ₪",1,3.0,יבנה,220,קרקע מתוך קרקע,0,גדרה יבנה והסביבה,גג/פנטהאוז
משה דיין 34,"6,000 ₪",12,0,תל אביב יפו,195,4 מתוך 6,0,תל אביב,דירה
טרומפלדור 51,"6,900 ₪",0,0,חדרה,125,5 מתוך 5,0,חדרה וישובי עמק חפר,דירה
השקד 10,"5,500 ₪",12,3.5,תל אביב יפו,125,קרקע מתוך קרקע,1,תל אביב,דירה
דקר 1,"4,000 ₪",12,0,פתח תקווה,72,6 מתוך 28,0,פתח תקוה והסביבה,דירה
"תרע""ד 8","6,000 ₪",12,0,תל אביב יפו,120,2 מתוך 13,2,תל אביב,דירה
נץ החלב 12,"5,500 ₪",12,5.0,ירושלים,12,10 מתוך 42,0,ירושלים והסביבה,דירה
יצחק נבון 3,"7,900 ₪",12,0,הוד השרון,70,קרקע מתוך קרקע,2,הוד השרון והסביבה,דירה
דרך השלום 56,"2,100 ₪",12,0,בת ים,65,קרקע מתוך קרקע,1,חולון - בת ים,דירה
אדני פז 46,"6,400 ₪",12,0,באר שבע,114,4 מתוך 6,0,באר שבע והסביבה,דירה
סוקולוב 51,"7,000 ₪",12,0,קרית שמונה,100,קרקע מתוך 32,1,גליל ועמקים,דירה
יצחק למדן 15,"2,300 ₪",12,0,רמת גן,67,1 מתוך 3,0,רמת גן - גבעתיים,יחידת דיור
ההסתדרות 7,"2,900 ₪",12,0,בית שמש,189,5 מתוך 18,0,בית שמש והסביבה,דירה
דרך השלום 135,"7,000 ₪",12,0,בית שמש,181,קרקע מתוך 1,0,בית שמש והסביבה,דירה
ארלוזורוב 194,"7,800 ₪",12,0,כפר סבא,65,1 מתוך 4,0,רעננה - כפר סבא,דירה
יעקב דורי 4,"7,500 ₪",12,0,נתניה,40,קרקע מתוך 4,0,נתניה והסביבה,דירה
גדעון 30,"5,000 ₪",12,2.0,באר יעקב,90,1 מתוך 3,0,"ראשל""צ והסביבה",בית פרטי/קוטג'
הנביאים 25,"5,150 ₪",12,0,מודיעין מכבים רעות,100,5 מתוך 8,0,מודיעין והסביבה,דירה
אסף 15,"7,000 ₪",12,2.0,רמת גן,350,3 מתוך 3,0,רמת גן - גבעתיים,דירה
אסף 15,"7,000 ₪",12,5.0,צור הדסה,25,4 מתוך 4,0,ירושלים והסביבה,דירה
אלקלעי 15,"2,500 ₪",12,5.0,חיפה,130,קרקע מתוך 1,0,חיפה וחוף הכרמל,יחידת דיור
נווה שאנן 13,"4,500 ₪",12,0,באר שבע,100,2 מתוך 4,1,באר שבע והסביבה,דירה
הזית 2,"13,000 ₪",12,0,נתניה,45,קרקע מתוך 3,0,נתניה והסביבה,בית פרטי/קוטג'
האורן 12,"3,700 ₪",12,8.5,הרצליה,100,קרקע מתוך קרקע,0,רמת השרון - הרצליה,דירה
אילת 18,"4,000 ₪",12,0,עפולה,132,6 מתוך 9,0,עמק יזרעאל,דירת גן
פרופ' יובל נאמן 3,"13,000 ₪",12,0,קרית אתא,85,3 מתוך 3,0,קריות,דירה
ארלוזורוב 28,"1,300 ₪",12,2.0,קרית ביאליק,137,4 מתוך 6,0,קריות,דירה
הזהרון 1,"3,900 ₪",12,5.0,חיפה,85,קרקע מתוך 2,0,חיפה וחוף הכרמל,יחידת דיור
יפה נוף 23,"6,000 ₪",0,5.0,חיפה,137,1 מתוך 4,1,חיפה וחוף הכרמל,תיירות ונופש
פרדס רייספלד,"8,400 ₪",12,0,חיפה,55,קרקע מתוך קרקע,0,חיפה וחוף הכרמל,דירה
לואי מרשל 1,"8,000 ₪",12,0,בת ים,82,3 מתוך 3,1,חולון - בת ים,דירה
שדרות גת 43,"2,750 ₪",12,8.5,גבעתיים,150,2 מתוך 2,1,רמת גן - גבעתיים,דירה
שבט 2,"6,500 ₪",12,0,נתניה,85,קרקע מתוך 1,1,נתניה והסביבה,דירה
מבוא הקתרוס 22,"3,000 ₪",12,0,הרצליה,90,1 מתוך 3,1,רמת השרון - הרצליה,יחידת דיור
שמואל הנביא 31,"9,960 ₪",12,0,עפולה,30,1 מתוך 4,0,עמק יזרעאל,דירת גן
עולי בבל 7,"10,500 ₪",12,0,קרית אתא,150,קרקע מתוך 4,1,קריות,דופלקס
לאה גולדברג 6,"3,300 ₪",12,0,קרית ביאליק,75,1 מתוך 3,1,קריות,יחידת דיור
מכבי 20,"8,500 ₪",12,0,חיפה,97,1 מתוך 4,0,חיפה וחוף הכרמל,דירה
קלוזנר 12,"6,500 ₪",12,4.0,חיפה,110,קרקע מתוך 4,0,חיפה וחוף הכרמל,דירה
העונות 1,"4,550 ₪",12,0,חיפה,100,קרקע מתוך 4,1,חיפה וחוף הכרמל,דירה
הזית 199,"7,500 ₪",12,4.0,בת ים,250,2 מתוך 2,2,חולון - בת ים,בית פרטי/קוטג'
שדרות לכיש 50,"3,000 ₪",12,0,גבעתיים,0,2 מתוך 3,0,רמת גן - גבעתיים,דירה
סמטת סייפן 4,"5,000 ₪",6,0,תל אביב יפו,75,3 מתוך 4,1,תל אביב,יחידת דיור
אליהו בית צורי 2,"9,500 ₪",12,5.0,הוד השרון,0,2 מתוך 8,1,הוד השרון והסביבה,דירה
שדרות דוד המלך 492,"5,500 ₪",12,3.0,הרצליה,130,20 מתוך 22,2,רמת השרון - הרצליה,דירה
קדיש לוז 43,"2,800 ₪",12,0,תל אביב יפו,136,2 מתוך 4,1,תל אביב,דירה
דרך בן גוריון 109,"9,200 ₪",12,6.0,כרמיאל,1,1 מתוך 5,0,כרמיאל והסביבה,דירה
חנה סנש 8,"1,550 ₪",12,4.0,נתניה,121,7 מתוך 22,0,נתניה והסביבה,דירה
קיסריה 2,"2,800 ₪",12,0,רינתיה,80,קרקע מתוך 7,0,מושבים במרכז,יחידת דיור
אבני חושן 38,"5,500 ₪",12,0,אשדוד,160,10 מתוך 15,1,אשדוד - אשקלון,תיירות ונופש
כנסת ישראל 2,"7,800 ₪",12,2.0,תל אביב יפו,104,9 מתוך 17,0,תל אביב,דו משפחתי
שדרות קוגל 19,"5,000 ₪",12,0,תל אביב יפו,133,9 מתוך 22,1,תל אביב,דירה
יהודה לייב פינסקר 11,"5,200 ₪",12,0,בת ים,70,4 מתוך 6,0,חולון - בת ים,דירה
הרצל 44,"4,480 ₪",12,4.0,רמת גן,60,8 מתוך 9,0,רמת גן - גבעתיים,דירה
שורק 7,"3,500 ₪",12,0,אשקלון,97,קרקע מתוך קרקע,1,אשדוד - אשקלון,יחידת דיור
בבלי 18,"11,500 ₪",12,0,ראשון לציון,70,1 מתוך 3,1,"ראשל""צ והסביבה",סאבלט
מנחם בגין 12,"4,400 ₪",12,5.0,חמד,94,3 מתוך 6,1,מושבים במרכז,דירה
נגבה 7,"3,000 ₪",0,0,ראשון לציון,82,2 מתוך 3,0,"ראשל""צ והסביבה",דירה
יעל רום 4,"9,500 ₪",12,0,תל אביב יפו,110,4 מתוך 7,2,תל אביב,דירה
אליעזר קשאני 9,"9,300 ₪",12,5.5,הוד השרון,0,3 מתוך 5,1,הוד השרון והסביבה,דירה
יבניאלי 9,"2,000 ₪",12,2.0,תל אביב יפו,65,2 מתוך 14,0,תל אביב,דירה
בן יהודה 167,"11,800 ₪",0,4.0,נתניה,59,2 מתוך 3,1,נתניה והסביבה,דירה
שתולים 61,"8,500 ₪",12,2.0,גבעתיים,120,4 מתוך 9,0,רמת גן - גבעתיים,דירה
פלורנטין 20,"5,000 ₪",12,0,תל אביב יפו,0,1 מתוך 1,0,תל אביב,דירת גן
ברקת 15,"3,500 ₪",12,2.0,הוד השרון,40,2 מתוך 7,0,הוד השרון והסביבה,דירה
נחל משמר 9,"5,000 ₪",12,0,תל אביב יפו,80,2 מתוך 2,1,תל אביב,דירת גן
נחל צלמון 4,"6,500 ₪",1,0,תל אביב יפו,40,קרקע מתוך 4,1,תל אביב,דירה
שדרות לכיש 50,"3,000 ₪",12,0,באר שבע,0,3 מתוך 3,0,באר שבע והסביבה,דירה
סמטת סייפן 4,"5,000 ₪",12,0,באר שבע,108,2 מתוך 2,2,באר שבע והסביבה,יחידת דיור
אליהו בית צורי 2,"9,500 ₪",12,2.0,בת ים,45,3 מתוך 10,1,חולון - בת ים,דירה
שדרות דוד המלך 492,"5,500 ₪",12,0,אשקלון,0,3 מתוך 3,0,אשדוד - אשקלון,דירה
קדיש לוז 43,"2,800 ₪",12,0,גבעתיים,108,קרקע מתוך 1,0,רמת גן - גבעתיים,דירה
דרך בן גוריון 109,"9,200 ₪",12,0,קרית מוצקין,45,3 מתוך 14,1,קריות,דירה
חנה סנש 8,"1,550 ₪",1,0,תל אביב יפו,83,קרקע מתוך 1,0,תל אביב,דירה
קיסריה 2,"2,800 ₪",1,0,גני תקווה,50,3 מתוך 14,1,בקעת אונו,יחידת דיור
אבני חושן 38,"5,500 ₪",11,0,בית שמש,35,1 מתוך 4,1,בית שמש והסביבה,תיירות ונופש
כנסת ישראל 2,"7,800 ₪",12,0,קרית מוצקין,55,1 מתוך 4,0,קריות,דו משפחתי
שדרות קוגל 19,"5,000 ₪",12,0,רמת גן,112,4 מתוך 12,0,רמת גן - גבעתיים,דירה
יהודה לייב פינסקר 11,"5,200 ₪",1,0,ירושלים,80,7 מתוך 8,1,ירושלים והסביבה,דירה
הרצל 44,"4,480 ₪",12,0,מבשרת ציון,0,קרקע מתוך 3,1,ירושלים והסביבה,דירה
שורק 7,"3,500 ₪",12,5.0,ירושלים,100,1 מתוך 2,1,ירושלים והסביבה,יחידת דיור
